<<<<<<< HEAD
offensive,class,tokenized,clean_tweet
Yes,1,"['know', 'bitch']",know bitch
No,2,"['oreo', 'ice', 'cream', 'httptcothrkaobdvj']", oreo ice cream httptcothrkaobdvj
Yes,1,"['swear', 'got', 'shit', 'make', 'bitch', 'go', 'insan']",swear got shit make bitches go insane
No,2,"['want', 'oreo', 'help']",want oreos help
No,2,"['clean', 'dead', 'bird', 'piec', 'glass']",clean dead bird pieces glass
No,2,"['earli', 'bird']", early bird
Yes,1,"['bitch', 'realli', 'dont', 'care']",bitch really dont care
Yes,1,"['swear', 'girl', 'good', 'pussi', 'think', 'that', 'answer', 'everyth']",swear girls good pussy think thats answer everything
Yes,1,"['keyair', 'angel', 'amp', 'femal', 'parti', 'promot', 'parti', 'promot', 'hoe', 'amp', 'angel', 'bitch']", keyair angels amp female party promoters party promoters hoes amp angel bitches
Yes,1,"['hat', 'trash', 'ot']",hats trash ot
No,2,"['gov', 'troop', 'hand', 'sever', 'defeat', 'saqlawiya', 'there', 'chatter', 'soldier', 'lost', 'amp', 'jihadi', 'rave']",gov troops handed severe defeat saqlawiya theres chatter soldiers lost amp jihadis raving
Yes,1,"['hoe', 'realli']",hoes really
Yes,1,"['old', 'cunt', 'need', 'die']",old cunt needs die
No,2,"['rick', 'scott', 'beat', 'win', 'number', 'counti', 'charli', 'crist']", rick scott beating win number counties charlie crist
Yes,1,"['get', 'devil', 'first', 'bitch', 'roast']",get devil first bitch roasted
No,2,"['omorrow', 'agenda', 'bake', 'browni', 'amp', 'visit', 'coupl', 'open', 'hous']",omorrows agenda bake brownies amp visit couple open house
Yes,1,"['shit', 'trash']",shit trash
No,2,"['harlem', 'world', 'trash', 'interest']",harlem world trash interesting
No,2,"['find', 'want', 'googl', 'yellow', 'king', 'kid', 'go']",find wanting google yellow king kidding going
No,2,"['wishin', 'local', 'take', 'da', 'yanke', 'game', 'spoil']",wishin local takes da yankee game spoil
Yes,1,"['karat', 'kid', 'pussi']",karate kid pussy
Yes,1,"['wan', 'na', 'put', 'food', 'bitch', 'pussi', 'take', 'cool', 'pictur', 'dont', 'get', 'bitch', 'dont', 'like', 'food', 'pussi']", wanna put food bitches pussy take cool pictures dont get bitches dont like food pussies
No,2,"['big', 'squawk', 'q', 'dfl', 'dump', 'ryan', 'uncl', 'tom', 'winkler', 'go', 'happen', 'berg', 'bleat', 'proud']",big squawk q dfl dump ryan uncle tom winkler going happen berg bleat proud
Yes,1,"['eadi', 'tell', 'bitch', 'shut', 'da', 'fuck', 'lol']",eady tell bitch shut da fuck lol
Yes,1,"['let', 'play', 'game', 'call', 'stop', 'lil', 'bitch']", lets play game called stop lil bitch
No,2,"['enjoy', 'hunt', 'sport', 'your', 'trash', 'hunt', 'food', 'deserv', 'starv']",enjoy hunting sport youre trash hunt food deserve starve
Yes,1,"['ye', 'bird', 'tweet', 'morn', 'love', 'rememb', 'your', 'hear', 'bird', 'cock', 'get', 'rock', 'hard', 'bird']", yes bird tweets morning lovely remember youre hearing bird cock get rock hard bird
Yes,1,"['whatev', 'happen', 'wont', 'let', 'racism', 'becom', 'big', 'trend', 'refus', 'fuckin', 'dead', 'bodi', 'bitch', 'im', 'mix', 'cant', 'racist']",whatever happens wont let racism become big trend refuse fuckin dead body bitches im mixed cant racist
No,2,"['ever', 'committ', 'crime', 'cite', 'lvl', 'sole', 'influenc']",ever committ crime cite lvl sole influence
Yes,1,"['unpredict', 'excus', 'retard']",unpredictable excuse retarded
Yes,1,"['u', 'finger', 'bad', 'light', 'skin', 'bitch', 'httptcojazkcccl']", u finger bad light skin bitch httptcojazkcccle
Yes,1,"['nigga', 'talk', 'bitch', 'day']", niggas talk bitches days
No,2,"['learnt', 'bird', 'child', 'best', 'time', 'learn']",learnt birds child best time learn
No,2,"['hank', 'follow', 'may', 'fan', 'guy', 'one', 'best', 'broadcast']",hanks follow may fan guys one best broadcasters
No,2,"['orient', 'galleri', 'blog', 'new', 'land', 'free', 'enterpris', 'httptcopztz']",oriental gallery blog new land free enterprise httptcopztz
Yes,1,"['bitch', 'dont', 'nobodi', 'care']", bitch dont nobody care
No,2,"['oh', 'sorri', 'hun', 'suck', 'hope', 'heal', 'fast']",oh sorry hun sucks hope heal fast
No,2,"['come', 'blue', 'make', 'other', 'see', 'red', 'green', 'envi', 'arent', 'alway', 'black', 'white', 'your', 'yellow', 'luckili']",come blue make others see red green envy arent always black white youre yellow luckily
Yes,1,"['dear', 'inconsider', 'ghetto', 'fuck', 'train', 'across', 'ya', 'know', 'phone', 'option', 'speaker', 'phone', 'right']",dear inconsiderate ghetto fuck train across ya know phone options speaker phone right
Yes,1,"['good', 'pussi', 'make', 'nigga', 'regroup', 'pull', 'get', 'thought', 'togeth']",good pussy making nigga regroup pull get thoughts together
Yes,1,"['sex', 'st', 'date', 'dont', 'mean', 'hoe', 'wait', 'day', 'wont', 'make', 'wife', 'cute', 'pic', 'dont', 'mean', 'yall', 'happi', 'titl']", sex st date dont mean hoe waiting days wont make wife cute pics dont mean yall happy title
No,2,"['angri', 'bird', 'movi', 'go', 'work', 'theyr', 'float', 'bird', 'head']",angry birds movie going work theyre floating bird heads
Yes,1,"['u', 'hoe', 'w', 'booti', 'hangin']",u hoes w booties hangin
No,2,"['wish', 'one', 'girl', 'guy', 'like', 'matter', 'whatik', 'could', 'wear', 'sweat', 'hair', 'would', 'sti']", wish one girls guys liked matter whatike could wear sweats hair would sti
